Municipio,Sector,Estrato,Servicio,Cargo Fijo,Cargo por Consumo Menor,Cargo por Consumo Mayor,Cargo por Consumo,Suspensión,Reinstalación,Reconexión,Corte,Año,Mes
Barbosa,Comercial,Comercial,Acueducto,10531.25,0.00,0.00,4007.15,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Barbosa,Comercial,Comercial,Alcantarillado,6039.39,0.00,0.00,2336.07,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Barbosa,Industrial,Industrial,Acueducto,10531.25,0.00,0.00,4007.15,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Barbosa,Industrial,Industrial,Alcantarillado,6039.39,0.00,0.00,2336.07,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Barbosa,Oficial y Exenta,Oficial y Exenta,Acueducto,7020.83,0.00,0.00,2671.43,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Barbosa,Oficial y Exenta,Oficial y Exenta,Alcantarillado,4026.26,0.00,0.00,1557.38,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Barbosa,Residencial,1,Acueducto,4914.58,1870.00,2671.43,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Barbosa,Residencial,1,Alcantarillado,3019.70,1168.04,1557.38,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Barbosa,Residencial,2,Acueducto,5616.66,2137.14,2671.43,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Barbosa,Residencial,2,Alcantarillado,3221.01,1245.90,1557.38,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Barbosa,Residencial,3,Acueducto,7020.83,2671.43,2671.43,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Barbosa,Residencial,3,Alcantarillado,4026.26,1557.38,1557.38,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Barbosa,Residencial,4,Acueducto,7020.83,2671.43,2671.43,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Barbosa,Residencial,4,Alcantarillado,4026.26,1557.38,1557.38,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Barbosa,Residencial,5,Acueducto,10531.25,4007.15,4007.15,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Barbosa,Residencial,5,Alcantarillado,6039.39,2336.07,2336.07,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Barbosa,Residencial,6,Acueducto,11233.33,4274.29,4274.29,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Barbosa,Residencial,6,Alcantarillado,6442.02,2491.81,2491.81,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Bello,Comercial,Comercial,Acueducto,10923.45,0.00,0.00,5013.48,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Bello,Comercial,Comercial,Alcantarillado,6282.41,0.00,0.00,4022.47,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Bello,Industrial,Industrial,Acueducto,10571.09,0.00,0.00,4851.75,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Bello,Industrial,Industrial,Alcantarillado,6079.76,0.00,0.00,3892.71,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Bello,Oficial y Exenta,Oficial y Exenta,Acueducto,7047.39,0.00,0.00,3234.50,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Bello,Oficial y Exenta,Oficial y Exenta,Alcantarillado,4053.17,0.00,0.00,2595.14,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Bello,Residencial,1,Acueducto,2818.96,1293.80,3234.50,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Bello,Residencial,1,Alcantarillado,1621.27,1038.06,2595.14,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Bello,Residencial,2,Acueducto,4228.43,1940.70,3234.50,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Bello,Residencial,2,Alcantarillado,2431.90,1557.08,2595.14,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Bello,Residencial,3,Acueducto,7047.39,3234.50,3234.50,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
